WAMP,Brand,Product,Wholesaler,Package,UPC,Parent Chain,Retail $,2 for $,Market
Premium,Redd's,Redd's Apple Ale 1/16C,Henry J. Lee Reyes,1/16C,34100007805,Buck Magement (Blue Water),2.99,,1 · Charleston
Beyond Beer,Steel Reserve,Steel Reserve Alloy Spkd Pineapl 1/16C x4,Henry J. Lee Reyes,1/16C,78250006127,Circle K,1.99,3.5,1 · Charleston
Beyond Beer,Steel Reserve,Steel Reserve Alloy Spkd Pineapl 1/16C x4,Henry J. Lee Reyes,1/16C,78250006127,Refuel Market,1.99,3,1 · Charleston
Beyond Beer,Steel Reserve,Steel Reserve Alloy Spkd Pineapl 1/16C x4,Henry J. Lee Reyes,1/16C,78250006127,GPM Southeast,2.39,4,1 · Charleston
Beyond Beer,Steel Reserve,Steel Reserve Alloy Spkd Pineapl 1/16C x4,Henry J. Lee Reyes,1/16C,78250006127,7-Eleven,2.39,4,1 · Charleston
Beyond Beer,Steel Reserve,Steel Reserve Alloy Spkd Pineapl 1/16C x4,Henry J. Lee Reyes,1/16C,78250006127,Spinx,1.99,3.5,1 · Charleston
Beyond Beer,Steel Reserve,Steel Reserve Alloy Spkd Pineapl 1/16C x4,Henry J. Lee Reyes,1/16C,78250006127,Parkers,2.49,4,1 · Charleston
Beyond Beer,Steel Reserve,Steel Reserve Alloy Spkd Pineapl 1/16C x4,Henry J. Lee Reyes,1/16C,78250006127,Buck Magement (Blue Water),2.19,4,1 · Charleston
Core,Coors,Coors Light 1/16C x4,Henry J. Lee Reyes,1/16C,71990302023,Circle K,1.99,3.5,1 · Charleston
Core,Coors,Coors Light 1/16C x4,Henry J. Lee Reyes,1/16C,71990302023,Refuel Market,2.09,3,1 · Charleston
Core,Coors,Coors Light 1/16C x4,Henry J. Lee Reyes,1/16C,71990302023,GPM Southeast,2.09,3.5,1 · Charleston
Core,Coors,Coors Light 1/16C x4,Henry J. Lee Reyes,1/16C,71990302023,7-Eleven,1.79,3,1 · Charleston
Core,Coors,Coors Light 1/16C x4,Henry J. Lee Reyes,1/16C,71990302023,Spinx,1.99,3.5,1 · Charleston
Core,Coors,Coors Light 1/16C x4,Henry J. Lee Reyes,1/16C,71990302023,Enmark,1.99,,1 · Charleston
Core,Coors,Coors Light 1/16C x4,Henry J. Lee Reyes,1/16C,71990302023,Buck Magement (Blue Water),2.19,,1 · Charleston
Core,Yuengling,Yuengling Traditional Lager 1/16C x4,Henry J. Lee Reyes,1/16C,89924600169,Circle K,1.99,3.5,1 · Charleston
Core,Yuengling,Yuengling Traditional Lager 1/16C x4,Henry J. Lee Reyes,1/16C,89924600169,Refuel Market,1.99,3,1 · Charleston
Core,Yuengling,Yuengling Traditional Lager 1/16C x4,Henry J. Lee Reyes,1/16C,89924600169,GPM Southeast,2.09,3.5,1 · Charleston
Core,Yuengling,Yuengling Traditional Lager 1/16C x4,Henry J. Lee Reyes,1/16C,89924600169,7-Eleven,1.79,3,1 · Charleston
Core,Yuengling,Yuengling Traditional Lager 1/16C x4,Henry J. Lee Reyes,1/16C,89924600169,Spinx,1.99,3.5,1 · Charleston
Core,Yuengling,Yuengling Traditional Lager 1/16C x4,Henry J. Lee Reyes,1/16C,89924600169,Enmark,1.99,,1 · Charleston
Core,Yuengling,Yuengling Traditional Lager 1/16C x4,Henry J. Lee Reyes,1/16C,89924600169,Buck Magement (Blue Water),2.19,,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16C x4,Southern Crown Partners,1/16C,18200005244,Circle K,2.49,4,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16C x4,Southern Crown Partners,1/16C,18200005244,Refuel Market,2.59,3.5,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16C x4,Southern Crown Partners,1/16C,18200005244,GPM Southeast,2.39,4,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16C x4,Southern Crown Partners,1/16C,18200005244,7-Eleven,2.39,4,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16C x4,Southern Crown Partners,1/16C,18200005244,Spinx,2.79,5,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16C x4,Southern Crown Partners,1/16C,18200005244,Enmark,1.99,,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16C x4,Southern Crown Partners,1/16C,18200005244,Buck Magement (Blue Water),2.79,,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16C x4,Southern Crown Partners,1/16C,18200005244,Dollar General,1.65,,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Circle K,1.99,3.5,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Refuel Market,1.89,3.5,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,GPM Southeast,1.89,3,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,7-Eleven,1.79,3,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Spinx,1.89,3.5,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Enmark,1.99,,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Buck Magement (Blue Water),1.99,,1 · Charleston
Value,Bud Ice,Bud Ice 1/16C x6,Southern Crown Partners,1/16C,18200002434,Circle K,1.99,3.5,1 · Charleston
